Publication Year,Author,Title,Publisher,Place,Co-ords,Manual Tags,Link Attachments,Automatic Tags
1995,"Walker, Martin J.",The Cold War: a history,H. Holt,New York,"40.7127281,-74.0060152",Physical,https://catalog.libraries.psu.edu/catalog/2759070,Cold War; World politics
1976,"Kaplan, Morton A.",The life and death of the cold war: selected studies in postwar statecraft,Nelson-Hall,Chicago,"41.8755616,-87.6244212",Physical,https://catalog.libraries.psu.edu/catalog/646749,World politics
2015,"Black, Jeremy",The Cold War: a military history,"Bloomsbury Academic, an imprint of Bloomsbury Publishing Plc","London, UK","51.4893335,-0.1440551",Physical,https://catalog.libraries.psu.edu/catalog/16212378,"Cold War; 20th century; History, Modern; Military history, Modern"
1966,"Lukacs, John",A new history of the cold war,Anchor Books,"Garden City, N.Y","40.7266477,-73.6343052",Physical,https://catalog.libraries.psu.edu/catalog/1367642,"Cold War; History, Modern"
2013,"Immerman, Richard H.; Goedd, Petra ",The Oxford handbook of the Cold War,Oxford University Press,"Oxford, U.K","51.7520131,-1.2578499",Physical,https://catalog.libraries.psu.edu/catalog/9615305,Cold War; World politics
1968,"Mydans, Carl; Mydans, Shelley Smith",The violent peace,Atheneum,New York,"40.7127281,-74.0060152",Physical,https://catalog.libraries.psu.edu/catalog/816094,"20th century; History, Modern; Military history, Modern"
2015,"Tudda, Chris","Cold War summits: a history, from Potsdam to Malta","Bloomsbury Academic, an imprint of Bloomsbury Publishing Plc","London, UK","51.4893335,-0.1440551",Physical,https://catalog.libraries.psu.edu/catalog/16212377,Cold War; World politics; 20th century; Diplomacy; History; International relations; Summit meetings
1967,"Burnham, James",The war we are in: the last decade and the next,Arlington House,"New Rochelle, N.Y","40.9115386,-73.7826363",Physical,https://catalog.libraries.psu.edu/catalog/816532,World politics
2023,"Catherwood, Christopher","Churchill, Eisenhower, and the making of the modern world",Lyons Press,"Essex, Connecticut","41.353432,-72.3906406",Physical,https://catalog.libraries.psu.edu/catalog/39334714,"Cold War; World politics; 20th century; History; Churchill, Winston; Democratization; Diplomatic history; Diplomatic relations; Foreign relations; Franklin Delano; Grande-Bretagne; Great Britain; Roosevelt, Franklin D; United States"
1979,"DePorte, A. W.",Europe between the superpowers: the enduring balance,Yale University Press,"New Haven, CT","41.3082138,-72.9250518",Physical,https://catalog.libraries.psu.edu/catalog/1348952,World politics; Foreign relations; United States; Balance of power; Europe; Politics and government; Soviet Union
2012,"House, Jonathan M.","A military history of the Cold War, 1944-1962",University of Oklahoma Press,Norman,"35.2225717,-97.4394816",Interlibrary,https://catalog.libraries.psu.edu/catalog/9377473,"Cold War; 20th century; Military history, Modern"
1979,"Merritt, Jeffrey D.; Goulden, Steven L.","Day by day, the fifties",Facts on File,New York,"40.7127281,-74.0060152",Interlibrary,https://catalog.libraries.psu.edu/catalog/967309,"History, Modern"
1996,"Parrish, Thomas",The Cold War encyclopedia,H. Holt,New York,"40.7127281,-74.0060152",Interlibrary,https://catalog.libraries.psu.edu/catalog/1474705,Cold War; World politics; Encyclopedias
2012,"Muehlenbeck, Philip E. ",Religion and the Cold War: a global perspective,Vanderbilt University Press,Nashville,"36.1622767,-86.7742984",Interlibrary,https://catalog.libraries.psu.edu/catalog/8739578,Cold War; World politics; 20th century; History; Religion and politics; Religion and state; Religious aspects
2006,"Dockrill, M. L.; Hopkins, Michael F.;","The Cold War, 1945-1991",Palgrave Macmillan,New York,"40.7127281,-74.0060152",Interlibrary,https://catalog.libraries.psu.edu/catalog/3020722,Cold War
2001,"Gavin, Francis J.; Whitney, Craig R.",The Cold War,Fitzroy Dearborn,"Chicago, Ill.","41.8755616,-87.6244212",Interlibrary,https://catalog.libraries.psu.edu/catalog/2261394,Cold War; World politics; 20th century
2013,"Matthew, Adam",Cold War,Adam Matthew Digital,"Marlborough, Wiltshire","51.420633,-1.7251743",Web,https://catalog.libraries.psu.edu/catalog/36817054,Pacifism; Politics
1999,"Painter, David S.",The Cold War: an international history,Routledge,New York,"40.7127281,-74.0060152",Web,https://catalog.libraries.psu.edu/catalog/43316024,"Cold War; World politics; Guerre froide; 20th Century; History, Modern"
2020,Dr. Spencer C. Tucker; Dr. Paul G. Pierpaoli Jr.,The Cold War: the definitive encyclopedia and document collection,"ABC-CLIO, An Imprint of ABC-CLIO, LLC","Santa Barbara, California","34.4221319,-119.702667",Web,https://catalog.libraries.psu.edu/catalog/34148087,Cold War; World politics; Encyclopedias
2014,"Vowinckel, Annette; Payk, Marcus M.; Lindenberger, Thomas",Cold War Cultures: Perspectives on Eastern and Western European Societies,"Berghahn Books, Incorporated",New York,"40.7127281,-74.0060152",Web,https://catalog.libraries.psu.edu/catalog/43597422,Electronic books